customer_state,boleto,credit_card,debit_card,voucher
AC,684461.2405800001,2561245.6754300003,61226.503260000005,139595.79699
AL,2406648.8422600003,13948117.898650002,214721.81276000006,298723.06217000005
AM,779668.6107600001,4054442.4423100003,26622.19846,36919.43086
AP,670083.64228,2136328.97946,0.0,41577.70266
BA,16600063.278240003,86617207.01309001,1235217.82189,2664309.0633900003
CE,6841461.943030001,40036606.25016,538186.25237,1179658.2989100001
DF,9072077.145690002,50978331.568450004,290951.10343,1427681.5013500003
ES,11482172.408590002,43294193.51049001,805534.27786,1164764.0877600003
GO,11896609.74424,46114575.693940006,618348.8056200001,1284387.1066
MA,7081732.45026,19059494.192700002,71688.35128,412609.05153000006
MG,59336721.196090005,255628183.15073,3885091.4963900005,6244105.13142
MS,4832832.65517,18598731.56986,261610.99601000003,329008.83379000006
MT,6808023.95741,25280155.608110003,146924.69454000003,410274.6619400001
PA,7757694.971650001,29057362.580350004,595029.42694,734600.70671
PB,4627602.50901,18664639.110910002,950224.4029200001,449118.69457000005
PE,8295207.000470001,46756368.21557,489398.7358000001,1134273.4222300001
PI,3051369.4204500006,15283611.150340002,215744.53108000004,351198.66912000004
PR,27211599.433720004,108336434.30519001,1846188.69552,3110319.3247100003
RJ,56952358.50681001,300857174.09228003,5678014.780230001,8901745.51097
RN,2884319.5907500004,14262328.838940002,262286.97079,579371.67951
RO,2570112.1529200003,7544671.85199,131510.36808000001,120129.12431000001
RR,480034.90899,1262258.5643200001,0.0,0.0
RS,33255248.271960005,115350705.87339002,2110382.7557800002,3686214.8126700004
SC,20005407.067360003,83951892.74368002,1330332.37688,2186659.3296600003
SE,2554627.7772600004,9847133.016630001,283266.70619000006,481500.68850000005
SP,188960736.12052003,811852382.9663001,15494692.155930001,24332319.882910002
TO,2326908.33544,7987142.877480001,157024.03795000003,252539.62461000003
